Versuch_Datum;Spender;MessgerŠt;Testsubstanznummer;Agrregatzustand;GHS_Kategorie;Inkubationszeit;Prewet;Waschen;Tag;Modell;Frequency_Hz;Amplitude_dB;Impedance_Ohm;Phase;Delta_Amplitude_dB;Delta_Impedance_Ohm;Delta_ Phase;Insert;wellplate;Blank_Frequenz;Blank_Amplitude_db;Blank_Impedanz_Ohm;Blank_Phase
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;1;79,608249;9559;-7,74;24,92145433;9014,916667;26,32666667;Brand;24;1;54,68679467;544,0833333;-34,06666667
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;1,343399;79,431083;9366;-8,55;25,68323017;8877,55;22,075;Brand;24;1,343399;53,74785283;488,45;-30,625
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;1,804722;79,201801;9122;-9,48;26,1945095;8673,45;17,37333333;Brand;24;1,804722;53,0072915;448,55;-26,85333333
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;2,424462;78,931993;8843;-10,33;26,56445667;8426,533333;13,07666667;Brand;24;2,424462;52,36753633;416,4666667;-23,40666667
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;3,257021;78,70813;8618;-11,17;26,85182817;8225,3;8,988333333;Brand;24;3,257021;51,85630183;392,7;-20,15833333
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;4,375479;78,439969;8356;-12,55;26,990159;7981,383333;4,875;Brand;24;4,375479;51,44981;374,6166667;-17,425
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;5,878016;78,094311;8030;-14,23;27,05791217;7672,833333;0,698333333;Brand;24;5,878016;51,03639883;357,1666667;-14,92833333
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;7,896523;77,710617;7683;-16,25;26,99425317;7338,833333;-3,381666667;Brand;24;7,896523;50,71636383;344,1666667;-12,86833333
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;10,608184;77,185168;7232;-18,25;26,71543783;6897,55;-7,136666667;Brand;24;10,608184;50,46973017;334,45;-11,11333333
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;14,251027;76,552554;6724;-19,95;26,317737;6398,516667;-10,395;Brand;24;14,251027;50,234817;325,4833333;-9,555
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;19,14482;75,873014;6218;-21,12;25,853547;5900,516667;-12,98166667;Brand;24;19,14482;50,019467;317,4833333;-8,138333333
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;25,719138;75,164608;5731;-21,86;25,31126833;5419,55;-14,97166667;Brand;24;25,719138;49,85333967;311,45;-6,888333333
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;34,551073;74,488794;5302;-22,17;24,76917183;4995,333333;-16,345;Brand;24;34,551073;49,71962217;306,6666667;-5,825
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;46,415888;73,816321;4907;-22,36;24,208019;4604,25;-17,45833333;Brand;24;46,415888;49,608302;302,75;-4,901666667
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;62,355073;73,156409;4548;-22,6;23,64694983;4248,683333;-18,48666667;Brand;24;62,355073;49,50945917;299,3166667;-4,113333333
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;83,767764;72,493891;4214;-22,72;23,05580067;3917,15;-19,26166667;Brand;24;83,767764;49,43809033;296,85;-3,458333333
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;112,533558;71,832421;3905;-22,77;22,4546275;3610,2;-19,89333333;Brand;24;112,533558;49,3777935;294,8;-2,876666667
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;151,177507;71,198133;3630;-22,84;21,87726383;3337,133333;-20,41;Brand;24;151,177507;49,32086917;292,8666667;-2,43
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;203,091762;70,575764;3379;-22,9;21,291399;3087,366667;-20,87833333;Brand;24;203,091762;49,284365;291,6333333;-2,021666667
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;272,833338;69,963453;3149;-23,18;20,71732933;2858,65;-21,45;Brand;24;272,833338;49,24612367;290,35;-1,73
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;366,524124;69,352162;2935;-23,65;20,13566467;2645,633333;-22,21166667;Brand;24;366,524124;49,21649733;289,3666667;-1,438333333
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;492,388263;68,723253;2730;-24,37;19,5343755;2441,55;-23,15833333;Brand;24;492,388263;49,1888775;288,45;-1,211666667
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;661,474064;68,076132;2534;-25,34;18,91088267;2246,333333;-24,33;Brand;24;661,474064;49,16524933;287,6666667;-1,01
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;888,623816;67,391738;2342;-26,56;18,24112333;2054,816667;-25,69166667;Brand;24;888,623816;49,15061467;287,1833333;-0,868333333
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;1193,776642;66,660881;2153;-27,99;17,52758817;1866,383333;-27,24833333;Brand;24;1193,776642;49,13329283;286,6166667;-0,741666667
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;1603,718744;65,876087;1967;-29,59;16,75497883;1680,783333;-28,96333333;Brand;24;1603,718744;49,12110817;286,2166667;-0,626666667
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;2154,43469;65,013278;1781;-31,21;15,906835;1495,266667;-30,67;Brand;24;2154,43469;49,106443;285,7333333;-0,54
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;2894,266125;64,120318;1607;-33,13;15,01929967;1321,433333;-32,655;Brand;24;2894,266125;49,10101833;285,5666667;-0,475
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;3888,15518;63,112793;1431;-34,87;14,0235655;1145,816667;-34,50166667;Brand;24;3888,15518;49,0892275;285,1833333;-0,368333333
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;5223,345074;62,048674;1266;-36,54;12,97046517;981,1833333;-36,23;Brand;24;5223,345074;49,07820883;284,8166667;-0,31
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;7017,038287;60,898631;1109;-37,9;11,82507433;824,3333333;-37,59333333;Brand;24;7017,038287;49,07355667;284,6666667;-0,306666667
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;9426,684551;59,665307;962,2;-38,81;10,59315417;677,5833333;-38,58666667;Brand;24;9426,684551;49,07215283;284,6166667;-0,223333333
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;12663,80174;58,405598;832,3;-39,12;9,349434167;548,2;-38,9;Brand;24;12663,80174;49,05616383;284,1;-0,22
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;17012,5428;57,089765;715,3;-38,99;8,027174167;430,9833333;-38,78666667;Brand;24;17012,5428;49,06259083;284,3166667;-0,203333333
140121;15015;TIN;NC;L;Kat_0;1_30min;1_20ul;1_Becher;0_post;3;22854,63864;55,828198;618,6;-37,71;6,777736667;334,6833333;-37,56333333;Brand;24;22854,63864;49,05046133;283,9166667;-0,146666667
